image,class,probability
1666_01_03.jpg,Subalpine Lupine,0.9725593328475952
1666_01_03.jpg,Subalpine Lupine,0.9708652496337891
1666_01_03.jpg,Subalpine Lupine,0.9686846733093262
1666_01_03.jpg,Mountain Daisy,0.9676266312599182
1666_01_03.jpg,Mountain Daisy,0.9653726816177368
1666_01_03.jpg,Subalpine Lupine,0.9091717004776001
1666_01_03.jpg,Subalpine Lupine,0.7566328048706055
1666_01_03.jpg,Subalpine Lupine,0.6900050640106201
1666_01_03.jpg,Cascade Aster,0.6005440354347229
1666_01_03.jpg,Subalpine Lupine,0.5832697749137878
1666_01_03.jpg,Subalpine Lupine,0.5333947539329529
1667_02_04.jpg,Broadleaf Arnica,0.7365562915802002
1664_02_02.jpg,Western Anemone,0.9660224914550781
1660_03_02.jpg,North Mircoseris,0.7022716403007507
1659_03_01.jpg,American Bistort,0.6982067227363586
1666_02_04.jpg,Mountain Daisy,0.9812442660331726
1666_02_04.jpg,Subalpine Lupine,0.9544110894203186
1666_02_04.jpg,American Bistort,0.9358932971954346
1666_02_04.jpg,Subalpine Lupine,0.8477669358253479
1666_02_04.jpg,Subalpine Lupine,0.8210030794143677
1666_02_04.jpg,Bracted Lousewort,0.6265293955802917
1668_01_04.jpg,Subalpine Lupine,0.9525871276855469
1668_01_04.jpg,Subalpine Lupine,0.9520444273948669
1668_01_04.jpg,Subalpine Lupine,0.9497693777084351
1668_01_04.jpg,Subalpine Lupine,0.9474740028381348
1668_01_04.jpg,Western Anemone,0.9443264007568359
1668_01_04.jpg,Subalpine Lupine,0.9255933165550232
1668_01_04.jpg,Western Anemone,0.8941287994384766
1668_01_04.jpg,Magenta Paintbrush,0.8728055357933044
1668_01_04.jpg,Subalpine Lupine,0.8600410223007202
1668_01_04.jpg,Subalpine Lupine,0.8531004190444946
1668_01_04.jpg,Subalpine Lupine,0.8507816195487976
1668_01_04.jpg,Subalpine Lupine,0.8480418920516968
1668_01_04.jpg,Subalpine Lupine,0.8269411325454712
1668_01_04.jpg,Subalpine Lupine,0.8001773953437805
1668_01_04.jpg,Subalpine Lupine,0.7014622688293457
1668_01_04.jpg,Subalpine Lupine,0.6606528759002686
1668_01_04.jpg,Magenta Paintbrush,0.6004636287689209
1668_01_04.jpg,Subalpine Lupine,0.5770721435546875
1668_01_04.jpg,Subalpine Lupine,0.5114343762397766
1661_02_03.jpg,Western Anemone,0.9081647396087646
1661_02_03.jpg,American Bistort,0.907863438129425
1661_02_03.jpg,Western Anemone,0.8869966864585876
1666_02_01.jpg,Broadleaf Arnica,0.9520633220672607
1666_02_01.jpg,Broadleaf Arnica,0.9454693794250488
1666_02_01.jpg,American Bistort,0.9011119604110718
1666_02_01.jpg,Broadleaf Arnica,0.8926272392272949
1666_02_01.jpg,Broadleaf Arnica,0.8549488186836243
1666_02_01.jpg,Broadleaf Arnica,0.8359759449958801
1666_02_01.jpg,Broadleaf Arnica,0.7971302270889282
1666_02_01.jpg,Subalpine Lupine,0.7004470825195312
1666_02_01.jpg,Subalpine Lupine,0.6771019697189331
1666_02_01.jpg,Subalpine Lupine,0.6716587543487549
1666_02_01.jpg,Subalpine Lupine,0.6421569585800171
1666_02_01.jpg,Subalpine Lupine,0.6143362522125244
1663_02_04.jpg,Subalpine Lupine,0.9638587236404419
1663_02_04.jpg,American Bistort,0.5552958846092224
1659_02_03.jpg,Bracted Lousewort,0.8816167712211609
1659_02_03.jpg,Bracted Lousewort,0.510674774646759
1664_02_03.jpg,American Bistort,0.877694308757782
1664_02_03.jpg,American Bistort,0.8405736088752747
1663_02_03.jpg,Subalpine Lupine,0.9850953221321106
1663_02_03.jpg,American Bistort,0.8162018656730652
1677_03_02.jpg,Subalpine Lupine,0.9522977471351624
1677_03_02.jpg,American Bistort,0.7369906306266785
1671_01_04.jpg,American Bistort,0.9316339492797852
1672_02_04.jpg,Subalpine Lupine,0.5685426592826843
1672_02_04.jpg,Bracted Lousewort,0.5574191808700562
1671_01_01.jpg,Western Anemone,0.9478538632392883
1671_01_01.jpg,Bracted Lousewort,0.8726950287818909
1671_01_01.jpg,Western Anemone,0.7350446581840515
1671_01_01.jpg,Bracted Lousewort,0.7149164080619812
